"buyer_id","part_num","volume","weighted","count","buyer_name"
2983,2.2,11421309.16,1.92622401616173e-07,5,"Управління промисловості та екології Дніпродзержинської міськради Дніпропетровської області "
10592,2.2,11182822.61,1.96730295804987e-07,5,"Комунальне підприємство Дніпропетровської облради “Редакція газети “Зоря”"
125934,2.2,9798115.27,2.2453297796322e-07,5,"Управління житлово-комунального господарства Марганецької міськради Дніпропетровської області"
7970,2.2,8714329.73,2.5245774123353e-07,5,"Кузнецовське міське комунальне підприємство Рівненської області"
326,2.2,7847687.7,2.80337353383723e-07,5,"Комунальний заклад Маріупольської міськради ""Маріупольська міська лікарня №1"" Донецької області"
1748,2.2,6443405.74,3.41434342143414e-07,5,"Комсомольська селищна рада Зміївського району Харківської області"
7592,2.2,5923219.17,3.7141965152034e-07,5,"Управління житлово-комунального господарства Ізмаїльської міськради Одеської області"
9251,2.2,5502344.07,3.99829594807582e-07,15,"КЗ ""Рівненський обласний госпіталь інвалідів війни"""
6162,2.2,5021454.9,4.38120035689258e-07,5,"Відділ освіти Макарівської районної державної адміністрації"
4682,2.2,4777964.8,4.60447092452418e-07,10,"Відділ освіти Кагарлицької районної державної адміністрації"
1796,2.2,4108684.57,5.35451179694722e-07,5,"Головне управління юстиції у Львівській області Мін'юсту України"
9808,2.2,3992751.38,5.50998494677122e-07,5,"ЯМПІЛЬСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ Вінницької області"
30389,2.2,3952454.37,5.56616166577022e-07,5,"Комунальна установа ""Територіальне медичне об’єднання ""Вінницький обласний центр екстреної медичної допомоги та медицини катастроф"""""
15434,2.2,3783714,5.81439294830423e-07,5,"Управління житлово-комунального господарства Антрацитівської міськради Луганської області"
57259,2.2,3761852.8,5.84818204476262e-07,5,"Комунальне підприємство ""Добропільський міський транспорт"""
5441,2.2,3402286.24,6.46624018324807e-07,5,"Управління комунального господарства м.Костянтинівка Донецької області"
6934,2.2,3341688.36,6.58349840857093e-07,5,"Комунальне підприємство ""Ладижинський комбінат комунальних підприємств"" Ладижинської міської ради"
238722,2.2,3184423.57,6.90862867843928e-07,5,"ДП ""Шахта ""Лідієвка"""
559,2.2,3179115.32,6.92016419209354e-07,5,"Відділ освіти Великобурлуцької райдержадміністрації Харківської області"
4743,2.2,2908370,7.56437454656732e-07,5,"Відділ освіти Червоноармійської районної державної адміністрації"
8308,2.2,2822171,7.79541707430202e-07,5,"Національний природний парк ""Вижницький"" Міністерства екології та природних ресурсів України"
4887,2.2,2819094.4,7.80392455108988e-07,5,"Харківський обласний центр зайнятості Державного центру зайнятості Мінсоцполітики України"
4541,2.2,2666776.18,8.24966120703838e-07,5,"КУ ""Новоселицька центральна районна лікарня"" Чернівецької області"
93072,2.2,2542097.69,8.65427008825928e-07,15,"Рівненське вище професійне училище Департаменту державної служби охорони при МВС України"
3009,2.2,2332471.7,9.43205441678028e-07,10,"Четвертий воєнізований гірничорятувальний загін державної воєнізованої гірничорятувальної служби у вугільній промисловості України"
80724,2.2,2185511.72,1.00662923921543e-06,20,"Білгород-Дністровський дитячий будинок-інтернат Одеської облдержадміністрації"
6530,2.2,2131241.64,1.03226211364752e-06,5,"КУ ""Станція швидкої медичної допомоги"" Управління охорони здоров’я Краснолуцької міськради Луганської області"
17192,2.2,2117569.09,1.03892714074326e-06,5,"КЗ ""Алчевська центральна міська лікарня"" Луганської області"
2426,2.2,2114606.32,1.04038277914539e-06,5,"ЛПЗ ""Волинський обласний онкологічний диспансер"""
477,2.2,1975472,1.11365790049163e-06,5,"Відділ освіти Коростенської райдержадміністрації Житомирської області"
125161,2.2,1960551.8,1.12213306478309e-06,5,"КУ ""Центр первинної медико-санітарної допомоги №4"" Криворізької міської ради Дніпропетровської області"
2761,2.2,1955074,1.12527709948575e-06,10,"Відділ освіти Монастирищенської райдержадміністрації Черкаської області"
11084,2.2,1923258.78,1.14389182718303e-06,5,"Чернігівський міськвиконком"
525,2.2,1822315.62,1.20725519545291e-06,5,"Волинське обласне дитяче територіальне медичне об’єднання"
4165,2.2,1771822.9,1.24165908455072e-06,5,"КУ ""Одеська обласна дитяча клінічна лікарня"""
5176,2.2,1752170,1.25558593058893e-06,5,"КНЗ ""Бердичівська спеціальна загальноосвітня  школа-інтернат""  Житомирської облради"
656,2.2,1696625,1.29669196198335e-06,5,"Відділ освіти Сколівської районної державної адміністрації"
10609,2.2,1690615.09,1.30130152807284e-06,5,"КЗ ""Обласний центр з профілактики та боротьби зі СНІДом"" м.Чернігова"
231607,2.2,1690013.87,1.30176446421709e-06,10,"КУ ""Фінансово-господарська група з обслуговування закладів та установ освіти"" Голопристанської райради Херсонської області "
1277,2.2,1671146.01,1.31646186918162e-06,5,"КЗОЗ ""Харківська міська клінічна лікарня №13"""
969,2.2,1606264.33,1.36963758636164e-06,5,"КЗ ""Богодухівський спеціальний навчально-виховний комплекс"" Харківської облради"
5580,2.2,1475471,1.49104929883407e-06,5,"ДЗ ""Спеціалізована медико-санітарна частина №2"" МОЗ України"
76124,2.2,1452434.22,1.51469854517749e-06,10,"Краснодонський обласний дитячий будинок-інтернат Луганської облради"
90722,2.2,1438435.32,1.52943964140146e-06,5,"ДЗ ""Відділкова лікарня станції Луганськ ДП ""Донецька залізниця"""
4891,2.2,1371559.49,1.60401354519446e-06,5,"ДЗ ""Дорожня лікарня станції Ясинувата ДП ""Донецька залізниця"""
10993,2.2,1363332.85,1.61369250363182e-06,5,"Комунальний заклад Сокальської райради Львівської області ""Сокальська центральна районна лікарня"""
3896,2.2,1268069.61,1.73492053011191e-06,5,"Хотинська центральна районна лікарня Чернівецької області"
125787,2.2,1041902,2.11152296473181e-06,5,"КЗ ""Михайлівська спеціальна загальноосвітня школа-інтернат І-ІІ ступенів"" Одеської області"
722,2.2,1003615,2.19207564653777e-06,5,"Відділ освіти Петриківської райдержадміністрації Дніпропетровської області"
9809,2.2,992744.96,2.21607773259307e-06,5,"Хмельницький міський перинатальний центр"
7549,2.2,986700,2.22965440356745e-06,5,"Долинська міськрада Івано-Франківської області"
75834,2.2,967910.75,2.27293683844301e-06,5,"Підприємство електричних мереж зовнішнього освітлення ""Міськсвітло"" м.Маріуполя Донецької області"
771,2.2,889837.7,2.47236097099505e-06,5,"Каховська центральна районна лікарня Херсонської області"
70579,2.2,854650,2.57415316211315e-06,5,"Управління освіти, сім'ї, молоді та спорту Дубенської міської ради"
3078,2.2,790955.16,2.78144718089961e-06,5,"Комунальний заклад Київської облради ""Білоцерківський протитуберкульозний диспансер"""
2227,2.2,587007.09,3.7478252605092e-06,5,"Центральний клінічний госпіталь ДПС України"
4975,2.2,575759.65,3.82103886578366e-06,5,"Вінницька обласна психіатрична лікарня №2"
95394,2.2,527644.2,4.16947632514486e-06,5,"Підкамінський психоневрологічний інтернат Львівської області"
71614,2.2,437274.44,5.03116532491586e-06,5,"Новоград-Волинська загальноосвітня школа-інтернат I-II ступенів Житомирської облради"
2820,2.2,421122.6,5.22413187988486e-06,5,"Відділ освіти Куп’янської райдержадміністрації Харківської області"
2702,2.20289855072464,47422447.22,4.64526543833779e-08,69,"Луганська обласна клінічна лікарня"
22,2.20588235294118,550835811.89,4.0046095502986e-09,68,"ДП ""ПІВДЕННА ЗАЛІЗНИЦЯ"""
663,2.20588235294118,14148272.17,1.55911783886836e-07,34,"КЗ ""Луганський обласний госпіталь ветеранів війни імені маршала А.І. Єременка"""
3370,2.2093023255814,122425364.94,1.80461159063251e-08,43,"Львівська обласна клінічна лікарня"
10730,2.21052631578947,8439393.87,2.619295117446e-07,38,"Відділ освіти Антрацитівської міськради Луганської області"
3823,2.21052631578947,6580815.45,3.35904620420479e-07,19,"Кіровський психоневрологічний інтернат"
10235,2.21052631578947,5212822.36,4.24055562060142e-07,19,"Відділ освіти Кіровської районної в м.Донецьку ради"
7417,2.21052631578947,3733079.93,5.92145455559392e-07,19,"Комунальна установа Червонооскільський психоневрологічний інтернат Департаменту соцзахисту населення Харківської облдержадміністрації"
2734,2.21052631578947,3730905.49,5.92490568767925e-07,19,"Комунальний заклад ""Конотопська центральна районна лікарня ім. Академіка Михайла Давидова"""
2184,2.21212121212121,81160096.74,2.72562663300888e-08,33,"КЗОЗ ""Обласна клінічна лікарня - центр екстреної медичної допомоги та медицини катастроф"" Департаменту охорони здоров’я Харківської облдержадміністрації"
13478,2.2125,16557259.45,1.33627186714164e-07,80,"Відділ освіти Лозівської міськради Харківської області"
636,2.21428571428571,137700682.21,1.60804266089897e-08,14,"Департамент капітального будівництва Одеської облдержадміністрації"
48873,2.21428571428571,13909279.66,1.59194851812025e-07,14,"ДП ""УКРАВТОГАЗ"" ПАТ ""НАК ""НАФТОГАЗ УКРАЇНИ"""
10567,2.21428571428571,6504215.44,3.40438556304296e-07,14,"Відділ освіти Ворошиловської районної в м.Донецьку ради"
48374,2.21428571428571,4695339.78,4.7159222080531e-07,14,"КЗОЗ ""Харківська міська клінічна лікарня №14 ім.проф.Л.Л. Гіршмана"""
708,2.21518987341772,553083861.52,4.00516093044168e-09,79,"Департамент комунального господарства та капітального будівництва Дніпропетровської міськради "
5267,2.21739130434783,41783717.51,5.30683107317376e-08,23,"Дочірня компанія ""Газ України"" Національної акціонерної компанії ""Нафтогаз України"""
338,2.22,85663284.82,2.59154199452516e-08,50,"Управління міського житлово-комунального господарства Макіївської міськради Донецької області"
1284,2.22222222222222,257216973.57,8.63948514508689e-09,9,"Служба автомобільних доріг у Хмельницькій області Держагентства автомобільних доріг України"
1366,2.22222222222222,105262603.19,2.1111222360814e-08,9,"Служба автомобільних доріг у Запорізькій області Держагентства автомобільних доріг України"
259,2.22222222222222,47352687.81,4.69291675931631e-08,9,"КЗ ""Обласний центр екстреної медичної допомоги та медицини катастроф"" Дніпропетровської облради"""
10104,2.22222222222222,18817398.99,1.18094016256081e-07,9,"Курахівська міськрада Донецької області"
675,2.22222222222222,12820623.86,1.73331832092469e-07,9,"КП ""Жилбудсервіс"""
2942,2.22222222222222,3521184.4,6.31100780243779e-07,9,"Одеська національна морська академія Міносвіти і науки України"
6030,2.22222222222222,3388882.9,6.55738863748353e-07,18,"КЗ ""ЛОТИКІВСЬКИЙ ОБЛАСНИЙ психоневрологічний інтернат"" Луганської облради"
3157,2.22222222222222,2856524.92,7.77946030389338e-07,9,"Комунальний заклад Київської обласної ради ""Київський обласний центр крові"""
5271,2.22222222222222,2673608,8.31169798348233e-07,9,"Державна установа Інститут сільського господарства степової зони НААН України"
2356,2.22222222222222,2120514.35,1.04796377455414e-06,9,"Відділ освіти Жовтоводського міськвиконкому Дніпропетровської області"
43740,2.22222222222222,946135.86,2.34873480244393e-06,9,"КЗ ""Павлоградська міська лікарня №4"" Дніпропетровської обласної ради"""
86,2.22448979591837,460725861.74,4.82822862931386e-09,98,"ДП ""Орджонікідзевугілля"""
6118,2.225,21081578,1.05542383971447e-07,80,"Відділ освіти виконкому Інгулецької районної у місті ради (м.Кривий Ріг Дніпропетровської області)"
658,2.2258064516129,47989875.47,4.63807507273972e-08,31,"Департамент житлового господарства Харківської міської ради"
364,2.22727272727273,106747521.85,2.08648658879637e-08,22,"ДТГО ""Південно-Західна залізниця"""
16016,2.23076923076923,15455617.56,1.44333878740801e-07,13,"Обласна клінічна лікарня Департаменту охорони здоров’я Івано-Франківської облдержадміністрації"
1254,2.23076923076923,12974159,1.71939409002867e-07,13,"ДП ""Берегометське лісомисливське господарство"""
4146,2.23076923076923,10167866.48,2.19394032677073e-07,13,"Управління житлово-комунального господарства Світловодського міськвиконкому Кіровоградської області"
2329,2.23076923076923,5865674.52,3.80309071559128e-07,13,"Вінницький обласний клінічний госпіталь для інвалідів Вітчизняної війни"
6078,2.23076923076923,3310637.82,6.73818566710275e-07,13,"Спеціалізований Трускавецький санаторій ""Батьківщина"" Львівської області"
2466,2.23076923076923,3010953.27,7.40884706845427e-07,13,"Сьомий воєнізований гірничорятувальний загін Міністерства енергетики та вугільної промисловості України"
5496,2.23076923076923,1763026.19,1.26530691570114e-06,13,"Відділ освіти  Білоцерківської райдержадміністрації Київської області"
296,2.23232323232323,7365954617.98,3.03059596223173e-10,99,"ПАТ ""Донбасенерго"""
13336,2.23404255319149,26627005.27,8.39013824700944e-08,47,"Відділ освіти Франківського району Управління освіти Департаменту гуманітарної політики Львівської міськради"
5595,2.23529411764706,9605624.75,2.32706791679225e-07,17,"ВІДДІЛ ОСВІТИ виконавчого комітету САМБІРСЬКОї міської ради"
3335,2.23529411764706,6326610,3.53316249562887e-07,17,"Відділ освіти Мостиської районної державної адміністрації"
3112,2.23529411764706,6064765.44,3.68570580307069e-07,17,"Луганська обласна клінічна психоневрологічна лікарня"
34610,2.23529411764706,3247339.72,6.88346249664035e-07,17,"Хмельницький обласний протитуберкульозний диспансер"
13219,2.23529411764706,2883679.74,7.75153387056449e-07,17,"ДЗ ""Дитячий спеціалізований (спеціальний) клінічний санаторій ""Ювілейний"" МОЗ України"
2322,2.23913043478261,90819012.49,2.46548643658635e-08,46,"Департамент житлово-комунального господарства Миколаївського міськвиконкому"
1544,2.23943661971831,1207654191.84029,1.85436910238827e-09,71,"ПАТ ""Укртрансгаз"""
13062,2.24,14661373.69,1.52782409572428e-07,25,"Відділ освіти Залізничного району Управління освіти департаменту гуманітарної політики Львівської міськради"
1121,2.24137931034483,442989309.84,5.05966907227259e-09,29,"Департамент комунального господарства Харківської міськради"
566,2.24242424242424,53152895.72,4.21881858372672e-08,33,"Національний олімпійський комітет України"
