"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
448018,514308,412,963479.76,962844,"2013-08-02",6,962844,962844,1602996,TRUE,"Управління благоустрою та житлової політики Криворізького міськвиконкому Дніпропетровської області"
461677,530863,412,2297700,2297046,"2013-11-18",6,2297046,2297046,2792063,TRUE,"Управління благоустрою та житлової політики Криворізького міськвиконкому Дніпропетровської області"
465982,567662,412,16500000,16498956,"2014-02-21",6,16498956,16498956,17553048,TRUE,"Управління благоустрою та житлової політики Криворізького міськвиконкому Дніпропетровської області"
