"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
390637,468689,495,2e+05,191014.27,"2013-02-22",1,191014.27,350192.83,436546.4,TRUE,"Публічне акціонерне товариство ""Державне акціонерне товариство ""Чорноморнафтогаз"""
394810,493026,495,5500000,5481991.93,"2013-04-19",1,5481991.93,10050318.54,11061978.4,TRUE,"Публічне акціонерне товариство ""Державне акціонерне товариство ""Чорноморнафтогаз"""
432393,496330,381,340000,339521.37,"2013-04-30",2,339521.37,339521.37,489299.04,TRUE,"Військова частина А0225 МО України"
432418,496327,381,650000,645260.94,"2013-04-30",2,645260.94,645260.94,844317.72,TRUE,"Військова частина А0225 МО України"
