"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
500930,585032,6169,93240,90720,"2014-04-01",6,90720,90720,93996,TRUE,"Відділ освіти виконкому Центрально-Міської районної у місті ради (м.Кривий Ріг Дніпропетровської області)"
500925,585121,6169,191500,190000,"2014-04-01",6,190000,190000,194280,TRUE,"Відділ освіти виконкому Центрально-Міської районної у місті ради (м.Кривий Ріг Дніпропетровської області)"
500918,585023,6169,637500,633250,"2014-04-01",6,633250,633250,646000,TRUE,"Відділ освіти виконкому Центрально-Міської районної у місті ради (м.Кривий Ріг Дніпропетровської області)"
518075,595244,446,133000,133000,"2014-05-13",6,133000,133000,168000,TRUE,"Відділ освіти виконкому Дзержинської районної у місті Кривому Розі ради Дніпропетровської області"
518078,595245,446,76130,74300,"2014-05-13",6,74300,74300,82695,TRUE,"Відділ освіти виконкому Дзержинської районної у місті Кривому Розі ради Дніпропетровської області"
526121,603551,446,148160,147800,"2014-07-01",6,147800,147800,150750,TRUE,"Відділ освіти виконкому Дзержинської районної у місті Кривому Розі ради Дніпропетровської області"
526389,603578,446,78000,75400,"2014-07-01",6,75400,75400,78000,TRUE,"Відділ освіти виконкому Дзержинської районної у місті Кривому Розі ради Дніпропетровської області"
