"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
223151,245178,86,NA,360000,"2011-11-08",7,360000,360001,366001,TRUE,"ДП ""Орджонікідзевугілля"""
372078,415267,86,607357,707735.76,"2012-10-30",7,707735.76,707736.76,712817.8,TRUE,"ДП ""Орджонікідзевугілля"""
384806,435456,86,15643840,20943445.2,"2013-01-03",7,20943445.2,20943446.2,21096901,TRUE,"ДП ""Орджонікідзевугілля"""
384815,435495,86,2875790,3184871.26,"2013-01-03",7,3184871.26,3184872.26,3348667.24,TRUE,"ДП ""Орджонікідзевугілля"""
384804,433277,86,167500,334680,"2012-12-28",7,334680,334681,339001,TRUE,"ДП ""Орджонікідзевугілля"""
384811,435486,86,1895800,5700000,"2013-01-03",7,5700000,5700001,6096001,TRUE,"ДП ""Орджонікідзевугілля"""
