"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
484764,567294,78826,312000,312130,"2014-02-18",5,312130,312130,329329,TRUE,"Маневицький професійний ліцей Управління освіти і науки Волинської облдержадміністрації"
532784,615462,2674,1433500,1433500,"2014-09-18",5,1433500,1433500,1449950,TRUE,"Відділ освіти Ковельської районної державної адміністрації"
567318,669800,10349,3096000,3096000,"2015-03-12",5,3096000,3096000,3405600,TRUE,"Відділ освіти Любешівської райдержадміністрації Волинської області"
