"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
225476,252589,594,NA,13200,"2011-12-05",7,13200,13200,15552,TRUE,"ПАТ ""Центренерго"" в особі Вуглегірської ТЕС "
528593,615001,213,395582.16,395582.16,"2014-09-18",10,395582.16,395582.16,438619,TRUE,"ПрАТ ""Запорізький електровозоремонтний завод"""
561458,664668,38657,3e+06,1510632,"2015-03-03",17,1510632,1510632,1605600,TRUE,"ПАТ ""ЕК Одесаобленерго"""
