"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
529586,610353,379,5e+07,49300426,"2014-08-19",4,49300426,49300426,50726176,TRUE,"Служба автомобільних доріг у Вінницькій області Державного агентства автомобільних доріг України"
529537,610355,379,1e+07,9982926,"2014-08-19",4,9982926,9982926,10496984,TRUE,"Служба автомобільних доріг у Вінницькій області Державного агентства автомобільних доріг України"
529576,610354,379,7e+07,79931878,"2014-08-19",4,79931878,79931878,80119942,TRUE,"Служба автомобільних доріг у Вінницькій області Державного агентства автомобільних доріг України"
