"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
406714,467493,14655,251220.1,156690,"2013-02-22",7,156690,156690,160405,TRUE,"Відділ освіти Петровської районної у м.Донецьку ради"
406675,467567,14655,386953,386794,"2013-02-22",7,386794,386794,386900,TRUE,"Відділ освіти Петровської районної у м.Донецьку ради"
427139,476598,10235,629280,627840,"2013-03-11",7,627840,627840,666000,TRUE,"Відділ освіти Кіровської районної в м.Донецьку ради"
427105,478483,10235,191200,191140,"2013-03-13",7,191140,191140,197700,TRUE,"Відділ освіти Кіровської районної в м.Донецьку ради"
427002,478502,10235,538630,536800,"2013-03-13",7,536800,536800,550220,TRUE,"Відділ освіти Кіровської районної в м.Донецьку ради"
426996,478515,10235,218178,216108,"2013-03-13",7,216108,216108,218730,TRUE,"Відділ освіти Кіровської районної в м.Донецьку ради"
428909,477287,14655,246600,246000,"2013-03-11",7,246000,246000,246300,TRUE,"Відділ освіти Петровської районної у м.Донецьку ради"
428926,477296,14655,459000,458820,"2013-03-11",7,458820,458820,459000,TRUE,"Відділ освіти Петровської районної у м.Донецьку ради"
427063,478490,10235,200200,194740,"2013-03-13",7,194740,194740,209300,TRUE,"Відділ освіти Кіровської районної в м.Донецьку ради"
426985,478522,10235,567360,559200,"2013-03-13",7,559200,559200,576000,TRUE,"Відділ освіти Кіровської районної в м.Донецьку ради"
436562,496817,319,204161,217892,"2013-05-07",7,217892,217902,228004,TRUE,"Відділ освіти Волноваської райдержадміністрації Донецької області"
436604,496794,319,119271,128760,"2013-05-07",7,128760,128770,130637,TRUE,"Відділ освіти Волноваської райдержадміністрації Донецької області"
436572,496814,319,120219,126069,"2013-05-07",7,126069,126079,126918,TRUE,"Відділ освіти Волноваської райдержадміністрації Донецької області"
