"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
548111,642357,1935,223515,277323,"2015-01-19",22,277323,277323,302650,TRUE,"Управління освіти Адміністрації Дзержинського району Харківської міськради"
548124,641204,9923,101798.5,101798.5,"2015-01-14",22,101798.5,101877.15,124616,TRUE,"Управління освіти адміністрації Ленінського району Харківської міськради"
548055,641213,9923,110312,140554,"2015-01-14",22,140554,140616.61,153688.9,TRUE,"Управління освіти адміністрації Ленінського району Харківської міськради"
548213,640825,9140,273047,321134.06,"2015-01-14",22,321134.06,321134.06,350864.4,TRUE,"Управління освіти адміністрації Московського району Харківської міськради"
