"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
226390,253591,174,NA,18046269,"2011-12-07",14,18046269,18046269,18948582.45,TRUE,"ДП ""Луганськвугілля"""
387468,436281,174,23622090,19984009.86,"2013-01-04",14,19984009.86,19984009.86,20983210.29,TRUE,"ДП ""Луганськвугілля"""
387471,436287,174,5503050,6140450,"2013-01-04",14,6140450,6140450,6447472.5,TRUE,"ДП ""Луганськвугілля"""
426063,488374,174,5298870,4755373.2,"2013-04-05",14,4755373.2,4755373.2,4991640,TRUE,"ДП ""Луганськвугілля"""
449379,513567,174,4392229.7,3542783,"2013-07-26",14,3542783,3542783,3719875.2,TRUE,"ДП ""Луганськвугілля"""
449496,515656,174,1234635,1234596,"2013-08-12",14,1234596,1234596,1296330.36,TRUE,"ДП ""Луганськвугілля"""
449491,520217,174,2545994,2304096,"2013-08-09",14,2304096,2304096,2419277.7,TRUE,"ДП ""Луганськвугілля"""
449318,514741,174,2936470,2866281,"2013-08-06",14,2866281,2866281,3009601.8,TRUE,"ДП ""Луганськвугілля"""
446521,510570,174,3978795.24,3455276.28,"2013-07-05",14,3455276.28,3455276.28,3627973.56,TRUE,"ДП ""Луганськвугілля"""
447254,511576,174,12447451,12443966.88,"2013-07-12",14,12443966.88,12443966.88,13066165.62,TRUE,"ДП ""Луганськвугілля"""
449352,520236,174,18131030.24,16983912.9,"2013-07-26",14,16983912.9,16983912.9,17833097.64,TRUE,"ДП ""Луганськвугілля"""
450573,511571,174,249407.4,179740,"2013-07-12",14,179740,180049.6,179740,FALSE,"ДП ""Луганськвугілля"""
457938,526468,174,14695946,13536261,"2013-10-22",14,13536261,13536261,14229144,TRUE,"ДП ""Луганськвугілля"""
455694,533913,174,94758720,497454,"2013-12-06",14,497454,497454,522330,TRUE,"ДП ""Луганськвугілля"""
455688,532889,174,134265230,6671608.2,"2013-11-29",14,6671608.2,6671608.2,7005192,TRUE,"ДП ""Луганськвугілля"""
491497,576022,174,5354286,6462552,"2014-03-11",14,6462552,6462552,6655638,TRUE,"ДП ""Луганськвугілля"""
479053,561390,174,14862384,12044760,"2014-02-11",14,12044760,12044760,12678096,TRUE,"ДП ""Луганськвугілля"""
495972,581695,174,19541111.1,18965534.4,"2014-03-21",14,18965534.4,18965534.4,19912614,TRUE,"ДП ""Луганськвугілля"""
