"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
566776,654447,273115,359640,359640,"2015-02-16",17,359640,359640,368100,TRUE,"Южненська філія державного підприємства ""Адміністрація морських портів України"" (Адміністрація морського порту ""Южний"")"
566857,654492,273115,96000,94206.6,"2015-02-16",17,94206.6,94266,101218.2,TRUE,"Южненська філія державного підприємства ""Адміністрація морських портів України"" (Адміністрація морського порту ""Южний"")"
567152,654476,273115,419932.8,419577.9,"2015-02-16",17,419577.9,419577.9,435474,TRUE,"Южненська філія державного підприємства ""Адміністрація морських портів України"" (Адміністрація морського порту ""Южний"")"
