"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
442481,500948,3643,222720,216840,"2013-05-22",3,216840,180700,182835,TRUE,"Санаторій - дитячий оздоровчий центр ""Мрія"" Південної залізниці"
442679,500961,3643,111000,101268,"2013-05-22",3,101268,84390,88755,TRUE,"Санаторій - дитячий оздоровчий центр ""Мрія"" Південної залізниці"
442777,500962,3643,104000,97470,"2013-05-22",3,97470,81225,81930,TRUE,"Санаторій - дитячий оздоровчий центр ""Мрія"" Південної залізниці"
442676,500957,3643,151000,108756,"2013-05-22",3,108756,90630,93870,TRUE,"Санаторій - дитячий оздоровчий центр ""Мрія"" Південної залізниці"
