"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
506733,582319,79199,404831.9,404831.9,"2014-03-25",4,404831.9,1.007,1.0104,TRUE,"Навчально-виховний комплекс: загальноосвітня школа l-lll ступенів - гімназія №2 Вінницької міськради"
506772,582350,47419,559450,559450,"2014-03-25",4,559450,1.007,1.0104,TRUE,"Загальноосвітня школа І-ІІІ ступенів №18 Вінницької міськради"
506727,582314,47523,312002.1,312002.1,"2014-03-25",4,312002.1,1.007,1.0104,TRUE,"Комунальний заклад ""Гуманітарна гімназія №1 імені М.І. Пирогова Вінницької міської ради"""
506783,582362,47421,543331,543331,"2014-03-25",4,543331,1.007,1.0104,TRUE,"Загальноосвітня школа  I-III ступенів №26 Вінницької міськради"
506822,582380,117100,201175.3,201175.3,"2014-03-25",4,201175.3,1.007,1.0104,TRUE,"Заклад ""Загальноосвітня школа І-ІІІ ступенів №36 Вінницької міськради"" "
507118,582322,47862,531457,531457,"2014-03-24",4,531457,1.007,1.0104,TRUE,"Навчально-виховний комплекс: загальноосвітня школа І-ІІІ ступенів - гімназія №23 Вінницької міськради"
506818,582378,79191,417531.6,417531.6,"2014-03-25",4,417531.6,1.007,1.0104,TRUE,"Загальноосвітня школа l-lll ступенів №35 Вінницької міськради"
506740,582321,117301,244048.2,244048.2,"2014-03-25",4,244048.2,1.007,1.0104,TRUE,"Заклад ""Загальноосвітня школа І-ІІІ ступенів №3 ім.М.Коцюбинського Вінницької міськради"""
506214,580339,118060,160024,160024,"2014-03-18",4,160024,160025.007,160025.0104,TRUE,"Заклад ""Загальноосвітня школа І-ІІІ ступенів №21 Вінницької міської ради"""
506813,582376,79196,353077,353077,"2014-03-25",4,353077,1.007,1.0104,TRUE,"Загальноосвітня школа l-lll ступенів з поглибленим вивченням математики і фізики №34 Вінницької міськради"
505955,580855,118539,214613,214613,"2014-03-18",4,214613,214614.007,214614.0104,TRUE,"Заклад ""Загальноосвітня школа І-ІІІ ступенів №33 Вінницької міськради"""
506747,582336,79187,379295.9,379295.9,"2014-03-25",4,379295.9,1.007,1.0104,TRUE,"Заклад ""Навчально-виховний комплекс: Загальноосвітня школа l-ll ступенів - ліцей №7 Вінницької міської ради"""
509694,586026,117299,489875,489875,"2014-04-02",4,489875,1.007,1.0104,TRUE,"Заклад ""Загальноосвітня школа І-ІІІ ступенів №25 Вінницької міськради"""
