"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
227463,250616,1520,NA,636274.2,"2011-11-29",17,636274.2,636274.2,760561.68,TRUE,"Одеський національний університет імені І.І. Мечникова"
382306,430579,6077,965626,964831.32,"2012-12-19",1,964831.32,964863,1045690.44,TRUE,"Державний науково-дослідний інститут з лабораторної діагностики та ветеринарно-санітарної експертизи"
451090,514746,8789,90000,86751.48,"2013-08-06",17,86751.48,86751.48,102514.2,TRUE,"Одеська регіональна державна лабораторія ветеринарної медицини"
529955,614213,6077,2929633,1772290.48,"2014-09-12",1,1772290.48,1772290.48,1867538.12,TRUE,"Державний науково-дослідний інститут з лабораторної діагностики та ветеринарно-санітарної експертизи"
