"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
376793,424846,1276,150000,147094.8,"2012-12-07",17,147094.8,147313.23,147526.3,TRUE,"Відділ освіти Великомихайлівської районної державної адміністрації"
407404,467920,78775,224000,212000,"2013-02-22",17,212000,212000,214000,TRUE,"Виконавчий комітет Ізмаїльської міської ради"
397038,459977,1276,7e+05,658040,"2013-02-08",17,658040,658258.26,659018.3,TRUE,"Відділ освіти Великомихайлівської районної державної адміністрації"
