"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
456511,523794,240879,641400,641355.5,"2013-09-30",10,641355.5,748248.08,748596.58,TRUE,"Відділ Держземагентства у Вільнянському районі Запорізької області"
456689,523761,168830,1899600,1899055.27,"2013-10-04",10,1899055.27,1899055.27,2238550.37,TRUE,"Відділ Держземагентства у Василівському районі Запорізької області"
456587,522170,241303,315600,308059.76,"2013-09-24",10,308059.76,359403.05,360392.52,TRUE,"Відділ Держземагентства у м.Енергодарі Запорізької області 
"
456716,524656,242051,1170960,1170561.01,"2013-10-11",10,1170561.01,1170561.01,1400993.83,TRUE,"Відділ Держземагентства у Пологівському районі Запорізької області"
456707,523349,199851,592800,592371.89,"2013-10-01",10,592371.89,592371.89,777750.78,TRUE,"Відділ Держземагентства у Приморському районі Запорізької області"
456698,524302,240872,3185760,3185383.26,"2013-10-08",10,3185383.26,3185383.26,3388906.15,TRUE,"Управління Держземагентства у Мелітопольському районі Запорізької області"
459396,526643,230913,471432,471136.24,"2013-10-22",10,471136.24,549658.95,558504.42,TRUE,"Головне управління Держземагентства у Запорізькій області "
