"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
436934,495123,80263,200600,200600,"2013-04-22",12,200600,200600,207400,TRUE,"Вишгородська спеціалізована школа ""Сузір’я"" Київської області"
433537,495689,79578,119000,119000,"2013-04-26",12,119000,119000,122400,TRUE,"Вишгородська районна гімназія ""Інтелект"""
495280,576230,73679,184275,182000,"2014-03-07",12,182000,182000,203000,TRUE,"Білоцерківська загальноосвітня школа І-ІІІ ступенів №7 Київської області"
495022,569613,71010,307125,295750,"2014-02-24",12,295750,295750,329875,TRUE,"Білоцерківська Загальноосвітня школа  I-III ступенів №15  Білоцерківської міськради Київської області"
489713,564932,4410,1342575,1292850,"2014-02-11",12,1292850,1292850,1442025,TRUE,"Управління освіти і науки Білоцерківської міськради Київської області"
494859,572472,70398,278775,268450,"2014-03-03",1,268450,268450,299425,TRUE,"Білоцерківська спеціалізована природничо-математична школа I-III ступенів №16 ім. М.О.Кириленка Білоцерківської міської ради Київської області"
498470,573848,71852,274428,297297,"2014-03-04",12,297297,297297,331600.5,TRUE,"Білоцерківське навчально-виховне об'єднання ""Перша білоцерківська гімназія-школа І ступеня"" Білоцерківської міськради Київської області"
494893,569495,71483,302400,291200,"2014-02-24",12,291200,291200,324800,TRUE,"Білоцерківська загальноосвітня школа І-ІІІ ступенів №22 Білоцерківської міської ради Київської області"
504538,589361,79578,294857,294857,"2014-04-14",12,294857,293930,335920,TRUE,"Вишгородська районна гімназія ""Інтелект"""
527448,603901,160701,119850,119850,"2014-07-03",12,119850,119850,137700,TRUE,"Вишгородська загальноосвітня школа І-ІІІ ступенів №1 Київської області"
