"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
432845,500569,2924,1400000,1556771.31,"2013-05-20",9,1556771.31,1556771.31,1613882.7,TRUE,"Національний природний парк ""Синевир"" Міністерства охорони навколишнього природного  середовища України "
431684,495174,239,4e+05,399120,"2013-04-26",17,399120,399120,402500,TRUE,"ВП ""Південна електроенергетична система"" ДП ""НЕК ""Укренерго"""
431730,498298,3171,416258,463697,"2013-05-08",9,463697,463918.8,479752,TRUE,"Чопська митниця ДМС України"
