"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
228770,249109,3009,NA,932000,"2011-11-22",14,932000,932000,955000,TRUE,"Четвертий воєнізований гірничорятувальний загін державної воєнізованої гірничорятувальної служби у вугільній промисловості України"
229069,247274,2466,NA,147981,"2011-11-15",14,147981,147981,150913,TRUE,"Сьомий воєнізований гірничорятувальний загін Міністерства енергетики та вугільної промисловості України"
227840,251056,5082,NA,1367020,"2011-11-30",6,1367020,1367020,1405000,TRUE,"Восьмий воєнізований гірничорятувальний загін Державної воєнізованої гірничорятувальної служби у вугільній промисловості"
228223,250819,2466,NA,460000,"2011-11-29",14,460000,460000,470000,TRUE,"Сьомий воєнізований гірничорятувальний загін Міністерства енергетики та вугільної промисловості України"
228072,251593,4905,NA,1046800,"2011-12-01",15,1046800,1046800,1075000,TRUE,"Львівсько-Волинський воєнізований гірничорятувальний (аварійно-рятувальний) загін Державної воєнізованої гірничорятувальної служби у вугільній промисловості"
228548,251597,4912,NA,932400,"2011-12-01",14,932400,932400,960000,TRUE,"Другий воєнізований гірничорятувальний загін "
228560,251566,4912,NA,460000,"2011-12-01",14,460000,460000,470000,TRUE,"Другий воєнізований гірничорятувальний загін "
228090,251594,4906,NA,932400,"2011-12-01",14,932400,932400,935000,TRUE,"П’ятий воєнізований гірничорятувальний загін Державної воєнізованої гірничорятувальної служби у вугільній промисловості України"
228521,251632,4906,NA,311800,"2011-12-01",14,311800,311800,314000,TRUE,"П’ятий воєнізований гірничорятувальний загін Державної воєнізованої гірничорятувальної служби у вугільній промисловості України"
370676,415322,4906,57100,57100,"2012-10-30",14,57100,57100,60000,TRUE,"П’ятий воєнізований гірничорятувальний загін Державної воєнізованої гірничорятувальної служби у вугільній промисловості України"
429162,482835,4912,140000,139900,"2013-03-21",14,139900,139900,146400,TRUE,"Другий воєнізований гірничорятувальний загін "
429148,482828,4912,145246.5,145008,"2013-03-21",14,145008,145008,151545.6,TRUE,"Другий воєнізований гірничорятувальний загін "
431605,483997,2466,126007.2,125873,"2013-03-25",14,125873,125873,126335,TRUE,"Сьомий воєнізований гірничорятувальний загін Міністерства енергетики та вугільної промисловості України"
433414,488410,4904,150699.8,149288,"2013-04-05",7,149288,149288,149880,TRUE,"Перший воєнізований гірничорятувальний загін"
431064,496940,4906,290000,289750,"2013-05-07",14,289750,289750,291000,TRUE,"П’ятий воєнізований гірничорятувальний загін Державної воєнізованої гірничорятувальної служби у вугільній промисловості України"
436356,496878,4905,276034,269143.1,"2013-05-07",15,269143.1,269143.1,271345,TRUE,"Львівсько-Волинський воєнізований гірничорятувальний (аварійно-рятувальний) загін Державної воєнізованої гірничорятувальної служби у вугільній промисловості"
