"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
455190,522510,147263,166500,133200,"2013-09-24",10,133200,133200,242060.05,TRUE,"Райадміністрація Запорізької міськради по Орджонікідзевському району"
483836,574131,10346,1e+06,999963.34,"2014-03-05",10,999963.34,999963.34,1010100,TRUE,"Запорізька облрада"
562241,662325,1160,7e+05,963125.48,"2015-02-27",10,963125.48,963125.48,971101.5,TRUE,"Запорізький міськвиконком"
