"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
530251,626335,1261,970843,970843,"2014-12-01",7,970843,970843,1064790,TRUE,"ПАТ ""Укртрансгаз"" Філія ""УМГ ""Донбастрансгаз"""
545175,642242,1261,2500000,2497234,"2015-01-14",7,2497234,2497234,2614211,TRUE,"ПАТ ""Укртрансгаз"" Філія ""УМГ ""Донбастрансгаз"""
546519,655609,401,1307300,1307300,"2015-02-17",15,1307300,1307300,1373700,TRUE,"ПАТ ""УКРТРАНСГАЗ"" Філія ""УМГ ""ЛЬВІВТРАНСГАЗ"""
547177,656957,1259,758587,758587,"2015-02-18",11,758587,758587,806400,TRUE,"ПАТ ""Укртрансгаз""  Філія ""УМГ ""Прикарпаттрансгаз"" "
