"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
547977,640639,9140,119095,119094.3,"2015-01-12",22,119094.3,119094.3,132327,TRUE,"Управління освіти адміністрації Московського району Харківської міськради"
549454,640869,9140,282935,282935,"2015-01-12",22,282935,282935,298800,TRUE,"Управління освіти адміністрації Московського району Харківської міськради"
548172,640691,9140,163693,204372,"2015-01-12",22,204372,204372,209238,TRUE,"Управління освіти адміністрації Московського району Харківської міськради"
