"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
399555,445451,1264,180000,135000,"2013-01-17",15,135000,135000,150000,TRUE,"Управління житлово-комунального господарства і будівництва Трускавецької міськради Львівської області"
399527,459799,1264,850000,996000,"2013-02-08",15,996000,996000,1294800,TRUE,"Управління житлово-комунального господарства і будівництва Трускавецької міськради Львівської області"
399522,459818,1264,7e+05,992399.2,"2013-02-08",15,992399.2,992399.2,1091639.12,TRUE,"Управління житлово-комунального господарства і будівництва Трускавецької міськради Львівської області"
447534,511098,1264,150000,147482,"2013-07-09",15,147482,147482,179840,TRUE,"Управління житлово-комунального господарства і будівництва Трускавецької міськради Львівської області"
445104,509408,1264,450000,676629.2,"2013-07-01",15,676629.2,676629.2,843000,TRUE,"Управління житлово-комунального господарства і будівництва Трускавецької міськради Львівської області"
493297,577296,1264,1070600,1070600,"2014-03-12",15,1070600,1070600,1199183.8,TRUE,"Управління житлово-комунального господарства і будівництва Трускавецької міськради Львівської області"
