"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
317726,376163,87446,609898.22,609898.22,"2012-06-21",25,609898.22,609898.22,652473.47,TRUE,"Комунальне підприємство ""Управління по експлуатації Будинку рад і об’єктів обласної комунальної власності"""
446773,510636,87446,662698.75,662697.09,"2013-07-08",25,662697.09,662697.09,679925,TRUE,"Комунальне підприємство ""Управління по експлуатації Будинку рад і об’єктів обласної комунальної власності"""
517668,598887,87446,568542.75,568538.71,"2014-06-02",25,568538.71,568538.71,571268,TRUE,"Комунальне підприємство ""Управління по експлуатації Будинку рад і об’єктів обласної комунальної власності"""
