"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
458743,527112,63,3e+05,211686,"2013-10-25",1,211686,211686,236179.2,TRUE,"Служба автомобільних доріг у Київській області Держагентства автомобільних доріг України"
458797,527105,63,6500000,7333194,"2013-10-25",1,7333194,7333194,7414938,TRUE,"Служба автомобільних доріг у Київській області Держагентства автомобільних доріг України"
459576,528397,63,19975000,18984420,"2013-11-01",1,18984420,18984420,20356768.8,TRUE,"Служба автомобільних доріг у Київській області Держагентства автомобільних доріг України"
460955,529629,63,780000,652428,"2013-11-08",1,652428,652428,677239.2,TRUE,"Служба автомобільних доріг у Київській області Держагентства автомобільних доріг України"
468817,543524,63,1050000,1061244,"2014-01-08",1,1061244,1061244,1155758.4,TRUE,"Служба автомобільних доріг у Київській області Держагентства автомобільних доріг України"
