"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
418420,485707,5826,152600,152589.8,"2013-03-29",7,152589.8,152589.8,194753.62,TRUE,"УПРАВЛІННЯ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА СЛОВ’ЯНСЬКОЇ МІСЬКРАДИ ДОНЕЦЬКОЇ ОБЛАСТІ"
469818,567799,5826,152600,152589.8,"2014-02-20",7,152589.8,152589.8,200076.52,TRUE,"УПРАВЛІННЯ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА СЛОВ’ЯНСЬКОЇ МІСЬКРАДИ ДОНЕЦЬКОЇ ОБЛАСТІ"
567642,664281,5826,219000,218999,"2015-03-02",7,218999,218999,273077.4,TRUE,"УПРАВЛІННЯ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА СЛОВ’ЯНСЬКОЇ МІСЬКРАДИ ДОНЕЦЬКОЇ ОБЛАСТІ"
