"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
391566,462077,5584,250000,241000,"2013-02-12",13,241000,241000,241500,TRUE,"Управління житлово-комунального господарства, архітектури та містобудування Олександрійської міськради Кіровоградської області"
471321,565804,5584,250000,249262.86,"2014-02-14",13,249262.86,249262.86,249589.57,TRUE,"Управління житлово-комунального господарства, архітектури та містобудування Олександрійської міськради Кіровоградської області"
556348,647810,5584,201492.37,195335.88,"2015-02-02",13,195335.88,195335.88,200257.78,TRUE,"Управління житлово-комунального господарства, архітектури та містобудування Олександрійської міськради Кіровоградської області"
