"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
383514,437927,4682,647400,647000,"2013-01-08",12,647000,647000,650000,TRUE,"Відділ освіти Кагарлицької районної державної адміністрації"
470672,551142,4682,450000,448300,"2014-01-21",12,448300,448300,451000,TRUE,"Відділ освіти Кагарлицької районної державної адміністрації"
552493,654733,4682,377500,377500,"2015-02-16",12,377500,377500,380000,TRUE,"Відділ освіти Кагарлицької районної державної адміністрації"
