"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
529968,606438,74004,113202.2,113202.2,"2014-07-21",15,113202.2,25.6,167.22,TRUE,"Львівська спеціалізована середня загальноосвітня школа №2 І-ІІІ ступенів з поглибленим вивченням англійської мови"
566356,665298,10960,5e+05,495615,"2015-03-03",15,495615,495615,498075,TRUE,"Середня загальноосвітня школа №1 м.Львова"
566470,665246,11358,396000,392820,"2015-03-03",15,392820,392820,394830,TRUE,"Середня загальноосвітня школа №95 м.Львова"
