"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
418232,470647,5467,253680,253680,"2013-02-26",22,253680,253680,254737,TRUE,"Балаклійська міськрада Харківської області"
418242,470644,5467,138656,128752,"2013-02-26",22,128752,128752,129247.2,TRUE,"Балаклійська міськрада Харківської області"
496221,570618,5467,155000,148180,"2014-02-27",22,148180,148180,153760,TRUE,"Балаклійська міськрада Харківської області"
496205,570620,5467,371000,364000,"2014-02-27",22,364000,364000,370300,TRUE,"Балаклійська міськрада Харківської області"
573360,662899,5467,241308,228572.3,"2015-02-26",22,228572.3,228572.3,234605,TRUE,"Балаклійська міськрада Харківської області"
573404,662910,5467,301560,280020,"2015-02-26",22,280020,280020,295098,TRUE,"Балаклійська міськрада Харківської області"
