"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
409439,461528,48343,190000,143750,"2013-02-12",15,143750,143812.5,149500,TRUE,"Управління з питань освіти, сім'ї, молоді та спорту Стрийської райдержадміністрації Львівської області"
482162,557292,18009,301600,240000,"2014-02-03",15,240000,240000,260000,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
482167,557289,18009,176775,118125,"2014-02-03",15,118125,118125,131250,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
482170,557288,18009,234300,232500,"2014-02-03",15,232500,232500,247500,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
482171,557284,18009,144732,159600,"2014-02-03",15,159600,159600,168000,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
482174,557283,18009,169605,148500,"2014-02-03",15,148500,148500,162000,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
499778,574743,254351,190000,199925,"2014-03-07",15,199925,199925,207300,TRUE,"Відділ освіти Стрийської районної державної адміністрації"
499761,574749,254351,190000,150000,"2014-03-07",15,150000,150060,172569,TRUE,"Відділ освіти Стрийської районної державної адміністрації"
499769,574747,254351,190000,197859,"2014-03-07",15,197859,197859,200500,TRUE,"Відділ освіти Стрийської районної державної адміністрації"
566823,656958,18009,190000,208051,"2015-02-18",15,208051,208051,212550,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
566809,656967,18009,256000,194880,"2015-02-18",15,194880,194880,207060,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
566798,656974,18009,409800,477750,"2015-02-18",15,477750,477750,491625,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
566814,656964,18009,3e+05,305400,"2015-02-18",15,305400,305400,321525,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
566792,656953,18009,330000,170100,"2015-02-18",15,170100,170100,176400,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
566779,656951,18009,348000,282800,"2015-02-18",15,282800,282800,297600,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
