"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
370663,414761,4,2e+06,1599600,"2012-10-26",15,1599600,1599600,2052000,TRUE,"ДТГО ""Львівська залізниця"""
377600,430782,22,95000,95000,"2012-12-21",22,95000,116000,95000,FALSE,"ДП ""ПІВДЕННА ЗАЛІЗНИЦЯ"""
453005,520284,4,1600000,1599600,"2013-09-09",15,1599600,1599600,2018600,TRUE,"ДТГО ""Львівська залізниця"""
456891,529814,22,310800,310800,"2013-11-07",22,310800,310800,468600,TRUE,"ДП ""ПІВДЕННА ЗАЛІЗНИЦЯ"""
454214,524884,416,1317600,946080,"2013-10-11",6,946080,946080,1242000,TRUE,"ДП ""Придніпровська залізниця"""
