"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
432304,493675,2593,1220000,1220000,"2013-04-23",15,1220000,1,2,TRUE,"Львівський міськвиконком"
508985,592417,51123,250000,250000,"2014-04-28",15,250000,250000,260000,TRUE,"Департамент ""Адміністрація міського голови"" Львівської міської ради"
518384,600057,2593,1010000,980000,"2014-06-11",15,980000,1,2,TRUE,"Львівський міськвиконком"
577958,668038,51123,210000,210000,"2015-03-05",15,210000,210000,270540,TRUE,"Департамент ""Адміністрація міського голови"" Львівської міської ради"
