"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
532987,618747,2266,1605432,2607815.7,"2014-10-16",1,2607815.7,2607815.7,2794080,TRUE,"ДП ""НЕК ""Укренерго"""
532983,618746,2266,2157780,3309196.2,"2014-10-16",1,3309196.2,3309196.2,3471180,TRUE,"ДП ""НЕК ""Укренерго"""
537581,620786,58174,350000,498924.13,"2014-10-30",25,498924.13,498924.13,511062.71,TRUE,"Управління Міністерства Внутрішніх Справ України в Черкаській області"
