"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
451540,518865,77470,2600000,2763722.4,"2013-08-30",7,2763722.4,2763722.4,2767020,TRUE,"Управління Державної служби охорони при ГУ МВС України в Донецькій області"
452800,520373,1074,1221000,1294710,"2013-09-10",6,1294710,1294710,1296300,TRUE,"Криворізький міський відділ Управління Державної служби охорони при ГУМВС України в Дніпропетровській області"
452771,522335,75740,2500000,2589420,"2013-09-18",22,2589420,2589420,2592600,TRUE,"Управління Державної служби охорони при ГУ МВС України в Харківській області"
