"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
449987,516487,3974,212800,205200,"2013-08-16",1,205200,205200,210900,TRUE,"Територіальне управління ДСА України в м.Києві"
442546,505441,1322,666000,665298,"2013-06-11",8,665298,665298,737661.6,TRUE,"Територіальне управління ДСА України в Житомирській області"
464105,527647,65762,100010,82950,"2013-10-29",1,82950,82950,86730,TRUE,"Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ"
