"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
393121,435207,90644,163200,153600,"2013-01-02",8,153600,153600,156000,TRUE,"Баранівська міськрада Житомирської області"
413246,468738,65968,16500000,1.8e+07,"2013-02-22",1,1.8e+07,1.8e+07,18480000,TRUE,"ПАТ по газопостачанню та газифікації ""Київоблгаз"""
490865,558582,90644,153600,153600,"2014-02-05",8,153600,153600,156000,TRUE,"Баранівська міськрада Житомирської області"
