"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
380503,426313,328,782138.4,927552.44,"2012-12-12",14,927552.44,927552.44,958470.86,TRUE,"Управління з питань будівництва Луганської міськради"
453199,519310,9287,525585,519060,"2013-09-02",17,519060,519060,534975,TRUE,"Управління освіти, культури, спорту та молодіжної політики Южненської міськради Одеської області"
442384,517989,11,5750600,5749260.28,"2013-08-23",1,5749260.28,5749260.28,6385457.27,TRUE,"Департамент освіти і науки, молоді та спорту виконавчого органу Київської міської ради (Київської міської державної адміністрації)"
