"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
494872,573889,71205,1611265.68,3903375.98,"2014-03-03",11,3903375.98,3903473,4098624,TRUE,"ПАТ ""Прикарпаттяобленерго"""
495014,576314,71205,4179100,3857752,"2014-03-11",11,3857752,3857752,4050930,TRUE,"ПАТ ""Прикарпаттяобленерго"""
499438,589612,73442,10566870.2,10535714.88,"2014-04-15",15,10535714.88,10535714.88,11587225.49,TRUE,"ПАТ ""Львівобленерго"""
