"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","code.x","winner.x","bid.x","seller_region_id.x","code.y","winner.y","bid.y","seller_region_id.y","volume.x","volume.y","winner","loser","winner.reg","loser.reg","win_volume","lose_volume","buyer_name","winner_name","winner_id","loser_name","loser_id"
389507,447232,8261,370000,359700,"2013-01-22",6,"13441711",TRUE,359700,6,"32298653",FALSE,364000,6,359700,0,"13441711","32298653",6,6,359700,364000,"Відділ освіти Бабушкінської районної у м.Дніпропетровську ради","ТОВ НВО ""Промсервіс""",5723,"ТОВ ""Оптітрейд""",33794
389498,447246,8261,1600000,1470000,"2013-01-22",6,"13441711",TRUE,1470000,6,"32298653",FALSE,1480000,6,1470000,0,"13441711","32298653",6,6,1470000,1480000,"Відділ освіти Бабушкінської районної у м.Дніпропетровську ради","ТОВ НВО ""Промсервіс""",5723,"ТОВ ""Оптітрейд""",33794
430086,490351,2795,238920,230956,"2013-04-12",6,"13441711",FALSE,238920,6,"32298653",TRUE,230956,6,0,230956,"32298653","13441711",6,6,230956,238920,"Управління освіти та науки Дніпропетровської міської ради ","ТОВ ""Оптітрейд""",33794,"ТОВ НВО ""Промсервіс""",5723
429986,490392,2795,280764,275224.8,"2013-04-12",6,"13441711",FALSE,280764,6,"32298653",TRUE,275224.8,6,0,275224.8,"32298653","13441711",6,6,275224.8,280764,"Управління освіти та науки Дніпропетровської міської ради ","ТОВ ""Оптітрейд""",33794,"ТОВ НВО ""Промсервіс""",5723
492543,580216,2795,201779.1,196796.9,"2014-03-19",6,"13441711",FALSE,201529.99,6,"32298653",TRUE,196796.9,6,0,196796.9,"32298653","13441711",6,6,196796.9,201529.99,"Управління освіти та науки Дніпропетровської міської ради ","ТОВ ""Оптітрейд""",33794,"ТОВ НВО ""Промсервіс""",5723
492548,576033,2795,314954,312580,"2014-03-11",6,"13441711",FALSE,316815,6,"32298653",TRUE,312580,6,0,312580,"32298653","13441711",6,6,312580,316815,"Управління освіти та науки Дніпропетровської міської ради ","ТОВ ""Оптітрейд""",33794,"ТОВ НВО ""Промсервіс""",5723
492500,580200,2795,328900,303600,"2014-03-19",6,"13441711",FALSE,323840,6,"32298653",TRUE,303600,6,0,303600,"32298653","13441711",6,6,303600,323840,"Управління освіти та науки Дніпропетровської міської ради ","ТОВ ""Оптітрейд""",33794,"ТОВ НВО ""Промсервіс""",5723
492521,580177,2795,326817.5,315408,"2014-03-19",6,"13441711",FALSE,321112.75,6,"32298653",TRUE,315408,6,0,315408,"32298653","13441711",6,6,315408,321112.75,"Управління освіти та науки Дніпропетровської міської ради ","ТОВ ""Оптітрейд""",33794,"ТОВ НВО ""Промсервіс""",5723
521139,597312,8261,635970,619148.8,"2014-05-22",6,"13441711",TRUE,619148.8,6,"32298653",FALSE,629947.5,6,619148.8,0,"13441711","32298653",6,6,619148.8,629947.5,"Відділ освіти Бабушкінської районної у м.Дніпропетровську ради","ТОВ НВО ""Промсервіс""",5723,"ТОВ ""Оптітрейд""",33794
521185,597292,8261,277545.6,262035.51,"2014-05-22",6,"13441711",TRUE,262035.51,6,"32298653",FALSE,272793.46,6,262035.51,0,"13441711","32298653",6,6,262035.51,272793.46,"Відділ освіти Бабушкінської районної у м.Дніпропетровську ради","ТОВ НВО ""Промсервіс""",5723,"ТОВ ""Оптітрейд""",33794
552213,648777,8261,1204580,1196052,"2015-02-02",6,"13441711",TRUE,1196052,6,"32298653",FALSE,1202448,6,1196052,0,"13441711","32298653",6,6,1196052,1202448,"Відділ освіти Бабушкінської районної у м.Дніпропетровську ради","ТОВ НВО ""Промсервіс""",5723,"ТОВ ""Оптітрейд""",33794
552215,648776,8261,856440,842400,"2015-02-02",6,"13441711",TRUE,842400,6,"32298653",FALSE,852508.8,6,842400,0,"13441711","32298653",6,6,842400,852508.8,"Відділ освіти Бабушкінської районної у м.Дніпропетровську ради","ТОВ НВО ""Промсервіс""",5723,"ТОВ ""Оптітрейд""",33794
552204,648778,8261,340500,334080,"2015-02-02",6,"13441711",TRUE,334080,6,"32298653",FALSE,339300,6,334080,0,"13441711","32298653",6,6,334080,339300,"Відділ освіти Бабушкінської районної у м.Дніпропетровську ради","ТОВ НВО ""Промсервіс""",5723,"ТОВ ""Оптітрейд""",33794
