"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","code.x","winner.x","bid.x","seller_region_id.x","code.y","winner.y","bid.y","seller_region_id.y","volume.x","volume.y","winner","loser","winner.reg","loser.reg","win_volume","lose_volume","buyer_name","winner_name","winner_id","loser_name","loser_id"
437606,489345,1723,7e+06,6830056.45,"2013-04-09",17,"14328945",TRUE,6830056.45,17,"36342297",FALSE,6902531.9,1,6830056.45,0,"14328945","36342297",17,1,6830056.45,6902531.9,"Департамент охорони здоров’я Одеської міськради","Спільне українсько-німецьке підприємство в формі ТОВ ""ТТВ-ДОМ"" ЛТД",7044,"ТОВ ""Ренарт""",47652
437618,489350,1723,2065000,2049667.62,"2013-04-09",17,"14328945",TRUE,2049667.62,17,"36342297",FALSE,2057961.26,1,2049667.62,0,"14328945","36342297",17,1,2049667.62,2057961.26,"Департамент охорони здоров’я Одеської міськради","Спільне українсько-німецьке підприємство в формі ТОВ ""ТТВ-ДОМ"" ЛТД",7044,"ТОВ ""Ренарт""",47652
452733,513519,2908,3477400,3405331,"2013-07-24",1,"14328945",FALSE,3590209.04,17,"36342297",TRUE,3502674,1,0,3405331,"36342297","14328945",1,17,3405331,3590209.04,"Департамент охорони здоров’я Київської облдержадміністрації","ТОВ ""Ренарт""",47652,"Спільне українсько-німецьке підприємство в формі ТОВ ""ТТВ-ДОМ"" ЛТД",7044
464511,529831,2908,5e+05,498945.85,"2013-11-11",1,"14328945",FALSE,518919.71,17,"36342297",TRUE,498945.85,1,0,498945.85,"36342297","14328945",1,17,498945.85,518919.71,"Департамент охорони здоров’я Київської облдержадміністрації","ТОВ ""Ренарт""",47652,"Спільне українсько-німецьке підприємство в формі ТОВ ""ТТВ-ДОМ"" ЛТД",7044
473043,536705,2908,5521980,5499300.69,"2013-12-12",1,"14328945",FALSE,6028955.11,17,"36342297",TRUE,5660701.43,1,0,5499300.69,"36342297","14328945",1,17,5499300.69,6028955.11,"Департамент охорони здоров’я Київської облдержадміністрації","ТОВ ""Ренарт""",47652,"Спільне українсько-німецьке підприємство в формі ТОВ ""ТТВ-ДОМ"" ЛТД",7044
511333,582061,2908,364287.6,364287.6,"2014-03-24",1,"14328945",FALSE,378495,17,"36342297",TRUE,364287.6,1,0,364287.6,"36342297","14328945",1,17,364287.6,378495,"Департамент охорони здоров’я Київської облдержадміністрації","ТОВ ""Ренарт""",47652,"Спільне українсько-німецьке підприємство в формі ТОВ ""ТТВ-ДОМ"" ЛТД",7044
511332,582049,2908,181199.4,181191.84,"2014-03-24",1,"14328945",FALSE,220273,17,"36342297",TRUE,181191.84,1,0,181191.84,"36342297","14328945",1,17,181191.84,220273,"Департамент охорони здоров’я Київської облдержадміністрації","ТОВ ""Ренарт""",47652,"Спільне українсько-німецьке підприємство в формі ТОВ ""ТТВ-ДОМ"" ЛТД",7044
506179,580975,1723,6258690,6255188.35,"2014-03-20",17,"14328945",TRUE,6255223,17,"36342297",FALSE,6273984,1,6255188.35,0,"14328945","36342297",17,1,6255188.35,6273984,"Департамент охорони здоров’я Одеської міськради","Спільне українсько-німецьке підприємство в формі ТОВ ""ТТВ-ДОМ"" ЛТД",7044,"ТОВ ""Ренарт""",47652
506220,583699,1723,2192110,2189923.38,"2014-03-26",17,"14328945",TRUE,2189961,17,"36342297",FALSE,2231613,1,2189923.38,0,"14328945","36342297",17,1,2189923.38,2231613,"Департамент охорони здоров’я Одеської міськради","Спільне українсько-німецьке підприємство в формі ТОВ ""ТТВ-ДОМ"" ЛТД",7044,"ТОВ ""Ренарт""",47652
511330,582060,2908,18765156.16,18574411.53,"2014-03-24",1,"14328945",FALSE,19503357.2,17,"36342297",TRUE,18955193.37,1,0,18574411.53,"36342297","14328945",1,17,18574411.53,19503357.2,"Департамент охорони здоров’я Київської облдержадміністрації","ТОВ ""Ренарт""",47652,"Спільне українсько-німецьке підприємство в формі ТОВ ""ТТВ-ДОМ"" ЛТД",7044
