"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","code.x","winner.x","bid.x","seller_region_id.x","code.y","winner.y","bid.y","seller_region_id.y","volume.x","volume.y","winner","loser","winner.reg","loser.reg","win_volume","lose_volume","buyer_name","winner_name","winner_id","loser_name","loser_id"
397271,456852,12209,245000,227500,"2013-02-04",12,"00445920",TRUE,227506.5,12,"21505980",FALSE,252007.2,1,227500,0,"00445920","21505980",12,1,227500,252007.2,"Відділ освіти Переяслав-Хмельницької міськради Київської області","ТОВ Переяслав-Молпродукт",884,"ТОВ Фірма Фавор",12076
397286,456832,12209,325000,285000,"2013-02-04",12,"00445920",TRUE,285057,12,"21505980",FALSE,330066,1,285000,0,"00445920","21505980",12,1,285000,330066,"Відділ освіти Переяслав-Хмельницької міськради Київської області","ТОВ Переяслав-Молпродукт",884,"ТОВ Фірма Фавор",12076
411886,470333,8250,403617.56,387828.12,"2013-02-19",1,"00445920",FALSE,406578.08,12,"21505980",TRUE,387828.12,1,0,387828.12,"21505980","00445920",1,12,387828.12,406578.08,"Святошинський психоневрологічний інтернат","ТОВ Фірма Фавор",12076,"ТОВ Переяслав-Молпродукт",884
411902,470330,8250,746573.85,725191.2,"2013-02-19",1,"00445920",FALSE,750317.4,12,"21505980",TRUE,725191.2,1,0,725191.2,"21505980","00445920",1,12,725191.2,750317.4,"Святошинський психоневрологічний інтернат","ТОВ Фірма Фавор",12076,"ТОВ Переяслав-Молпродукт",884
411909,470320,8250,636289.72,624459.7,"2013-02-19",1,"00445920",FALSE,631552.58,12,"21505980",TRUE,624459.7,1,0,624459.7,"21505980","00445920",1,12,624459.7,631552.58,"Святошинський психоневрологічний інтернат","ТОВ Фірма Фавор",12076,"ТОВ Переяслав-Молпродукт",884
500526,571133,12209,330000,343860,"2014-02-28",12,"00445920",TRUE,343860,12,"21505980",FALSE,363000,1,343860,0,"00445920","21505980",12,1,343860,363000,"Відділ освіти Переяслав-Хмельницької міськради Київської області","ТОВ Переяслав-Молпродукт",884,"ТОВ Фірма Фавор",12076
568659,650346,12209,292500,281340,"2015-02-09",12,"00445920",TRUE,281340,12,"21505980",FALSE,324000,1,281340,0,"00445920","21505980",12,1,281340,324000,"Відділ освіти Переяслав-Хмельницької міськради Київської області","ТОВ Переяслав-Молпродукт",884,"ТОВ Фірма Фавор",12076
578595,664274,8250,672340.66,668201.22,"2015-03-01",1,"00445920",FALSE,693191.46,12,"21505980",TRUE,668201.22,1,0,668201.22,"21505980","00445920",1,12,668201.22,693191.46,"Святошинський психоневрологічний інтернат","ТОВ Фірма Фавор",12076,"ТОВ Переяслав-Молпродукт",884
578587,664264,8250,504793.91,502819.2,"2015-03-01",1,"00445920",FALSE,505776.96,12,"21505980",TRUE,502819.2,1,0,502819.2,"21505980","00445920",1,12,502819.2,505776.96,"Святошинський психоневрологічний інтернат","ТОВ Фірма Фавор",12076,"ТОВ Переяслав-Молпродукт",884
578617,664291,8250,900861.96,812673.34,"2015-03-01",1,"00445920",FALSE,821061.09,12,"21505980",TRUE,812673.34,1,0,812673.34,"21505980","00445920",1,12,812673.34,821061.09,"Святошинський психоневрологічний інтернат","ТОВ Фірма Фавор",12076,"ТОВ Переяслав-Молпродукт",884
