"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","code.x","winner.x","bid.x","seller_region_id.x","code.y","winner.y","bid.y","seller_region_id.y","volume.x","volume.y","winner","loser","winner.reg","loser.reg","win_volume","lose_volume","buyer_name","winner_name","winner_id","loser_name","loser_id"
516727,598456,6169,142450,140600,"2014-06-02",6,"2355507568",TRUE,140600,NA,"36607970",FALSE,143930,6,140600,0,"2355507568","36607970",NA,6,140600,143930,"Відділ освіти виконкому Центрально-Міської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ФО-підприємець Неміч О.В.",16211,"ПП Трансагро-Збут",48644
520507,596481,3312,56880,120080,"2014-05-19",6,"2355507568",FALSE,122608,NA,"36607970",TRUE,120080,6,0,120080,"36607970","2355507568",6,NA,120080,122608,"Відділ освіти виконкому Саксаганської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ПП Трансагро-Збут",48644,"ФО-підприємець Неміч О.В.",16211
520533,596762,3312,132240,117980,"2014-05-21",6,"2355507568",FALSE,120920,NA,"36607970",TRUE,117980,6,0,117980,"36607970","2355507568",6,NA,117980,120920,"Відділ освіти виконкому Саксаганської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ПП Трансагро-Збут",48644,"ФО-підприємець Неміч О.В.",16211
520506,596483,3312,87307,105340.8,"2014-05-19",6,"2355507568",FALSE,108502.6,NA,"36607970",TRUE,105340.8,6,0,105340.8,"36607970","2355507568",6,NA,105340.8,108502.6,"Відділ освіти виконкому Саксаганської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ПП Трансагро-Збут",48644,"ФО-підприємець Неміч О.В.",16211
516731,598455,6169,21115,20500,"2014-06-02",6,"2355507568",TRUE,20500,NA,"36607970",FALSE,21115,6,20500,0,"2355507568","36607970",NA,6,20500,21115,"Відділ освіти виконкому Центрально-Міської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ФО-підприємець Неміч О.В.",16211,"ПП Трансагро-Збут",48644
516734,598457,6169,58782,57988.5,"2014-06-02",6,"2355507568",TRUE,57988.5,NA,"36607970",FALSE,58687.5,6,57988.5,0,"2355507568","36607970",NA,6,57988.5,58687.5,"Відділ освіти виконкому Центрально-Міської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ФО-підприємець Неміч О.В.",16211,"ПП Трансагро-Збут",48644
520537,596760,3312,78750,73500,"2014-05-21",6,"2355507568",FALSE,76650,NA,"36607970",TRUE,73500,6,0,73500,"36607970","2355507568",6,NA,73500,76650,"Відділ освіти виконкому Саксаганської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ПП Трансагро-Збут",48644,"ФО-підприємець Неміч О.В.",16211
520532,596764,3312,168750,225000,"2014-05-21",6,"2355507568",FALSE,236250,NA,"36607970",TRUE,225000,6,0,225000,"36607970","2355507568",6,NA,225000,236250,"Відділ освіти виконкому Саксаганської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ПП Трансагро-Збут",48644,"ФО-підприємець Неміч О.В.",16211
520505,596485,3312,310500,319500,"2014-05-19",6,"2355507568",FALSE,328500,NA,"36607970",TRUE,319500,6,0,319500,"36607970","2355507568",6,NA,319500,328500,"Відділ освіти виконкому Саксаганської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ПП Трансагро-Збут",48644,"ФО-підприємець Неміч О.В.",16211
527408,609530,6169,152800,86080,"2014-08-12",6,"2355507568",TRUE,86080,NA,"36607970",FALSE,88000,6,86080,0,"2355507568","36607970",NA,6,86080,88000,"Відділ освіти виконкому Центрально-Міської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ФО-підприємець Неміч О.В.",16211,"ПП Трансагро-Збут",48644
545406,635813,6169,178020,130370,"2015-01-05",6,"2355507568",TRUE,130370,NA,"36607970",FALSE,138680,6,130370,0,"2355507568","36607970",NA,6,130370,138680,"Відділ освіти виконкому Центрально-Міської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ФО-підприємець Неміч О.В.",16211,"ПП Трансагро-Збут",48644
545409,635810,6169,123760,115430,"2015-01-05",6,"2355507568",TRUE,115430,NA,"36607970",FALSE,119000,6,115430,0,"2355507568","36607970",NA,6,115430,119000,"Відділ освіти виконкому Центрально-Міської районної у місті ради (м.Кривий Ріг Дніпропетровської області)","ФО-підприємець Неміч О.В.",16211,"ПП Трансагро-Збут",48644
